STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
ARQUIVADO,2018,LÍBANO,M,1993.0,SÃO PAULO,2018-11-29,LB
ARQUIVADO,2016,LÍBANO,M,1997.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1991.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1977.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2017,LÍBANO,M,1995.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1993.0,FLORIANÓPOLIS,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1987.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,IÉMEN​,M,1974.0,FOZ DO IGUAÇU,2018-11-29,YE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1991.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1992.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,LÍBANO,M,1993.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1999.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1973.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,M,1996.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1989.0,FLORIANÓPOLIS,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1963.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1987.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1990.0,RIO DE JANEIRO,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1967.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1998.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1991.0,SÃO PAULO,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2018,SÍRIA,M,1993.0,RIO DE JANEIRO,2018-12-20,SY
ARQUIVADO,2016,VENEZUELA,F,1989.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,SINOP,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,F,1989.0,BARRACÃO,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1999.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1997.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1983.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,NIGÉRIA,M,2016.0,SÃO PAULO,2018-11-29,NG
ARQUIVADO,2018,HAITI,M,1987.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1995.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,NIGÉRIA,M,1994.0,SÃO PAULO,2018-11-29,NG
ARQUIVADO,2018,LÍBANO,F,1968.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1990.0,FLORIANÓPOLIS,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1992.0,SÃO PAULO,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,2009.0,CHAPECÓ,2018-12-20,HT
ARQUIVADO,2018,ANGOLA,F,1990.0,SÃO PAULO,2018-11-29,AO
ARQUIVADO,2018,HAITI,M,1995.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1982.0,CAXIAS DO SUL,2018-12-20,HT
ARQUIVADO,2018,ANGOLA,F,1962.0,SÃO PAULO,2018-11-29,AO
ARQUIVADO,2017,LÍBANO,F,1993.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1993.0,BARRACÃO,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1986.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1997.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1993.0,ERECHIM,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1984.0,PORTO VELHO,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1993.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,CUBA,M,1982.0,SÃO PAULO,2018-11-29,CU
ARQUIVADO,2018,HAITI,F,1989.0,FOZ DO IGUAÇU,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1988.0,FLORIANÓPOLIS,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1971.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2017,LÍBANO,F,1993.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1994.0,BOA VISTA,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2015,PALESTINA,M,1992.0,SÃO PAULO,2018-12-20,PS
ARQUIVADO,2016,REP.DOMINICANA,M,1964.0,SÃO PAULO,2018-11-29,DO
ARQUIVADO,2018,HAITI,M,1988.0,SINOP,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,M,1992.0,ERECHIM,2018-12-20,HT
ARQUIVADO,2018,CUBA,F,1976.0,PORTO VELHO,2018-11-29,CU
ARQUIVADO,2016,LÍBANO,M,1993.0,FOZ DO IGUAÇU,2018-11-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1974.0,BOA VISTA,2018-12-20,HT
ARQUIVADO,2018,CUBA,M,1988.0,PORTO VELHO,2018-11-29,CU
ARQUIVADO,2018,VENEZUELA,M,2000.0,CURITIBA,2018-11-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1972.0,BOA VISTA,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1970.0,SÃO PAULO,2018-11-29,VE
ARQUIVADO,2018,CHINA,M,1961.0,CURITIBA,2018-11-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1977.0,BOA VISTA,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1935.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1992.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1993.0,JOINVILLE,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1968.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2017,SÍRIA,M,1981.0,CURITIBA,2018-11-29,SY
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1982.0,RONDONÓPOLIS,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1967.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1981.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,2006.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1990.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,F,1984.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1981.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1984.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1978.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,2009.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1996.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,M,1989.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1989.0,CAXIAS DO SUL,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1959.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1994.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,F,1967.0,RIO DE JANEIRO,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2017,SÍRIA,F,1980.0,FLORIANÓPOLIS,2018-12-20,SY
ARQUIVADO,2016,VENEZUELA,M,1989.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1987.0,LAGES,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1978.0,BRASILÉIA,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2015,PAQUISTÃO,M,1982.0,BRASÍLIA,2018-12-20,PK
ARQUIVADO,2016,SÍRIA,M,1974.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1990.0,SINOP,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,F,1988.0,BOA VISTA,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1984.0,SÃO PAULO,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1986.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,HAITI,M,1987.0,SÃO PAULO,2018-12-20,HT
ARQUIVADO,2018,ÍNDIA,M,1991.0,SÃO PAULO,2018-11-29,IN
ARQUIVADO,2018,CUBA,F,1986.0,CURITIBA,2018-11-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1978.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,ÍNDIA,M,1998.0,SÃO PAULO,2018-11-29,IN
ARQUIVADO,2018,CUBA,M,2010.0,CURITIBA,2018-11-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1981.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,F,1973.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1983.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1975.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,CORÉIA DO SUL,M,1980.0,SÃO PAULO,2018-11-29,KR
ARQUIVADO,2018,HAITI,M,1966.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1982.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1959.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1986.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,VENEZUELA,M,1979.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1997.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1973.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,HAITI,M,1980.0,SÃO PAULO,2018-11-29,HT
ARQUIVADO,2018,HAITI,M,1995.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1988.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1935.0,BAURU,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1983.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1985.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2017,CHINA,M,1974.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,F,1992.0,CURITIBA,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,F,1987.0,BRASILÉIA,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2014,PAQUISTÃO,M,1995.0,BARRACÃO,2018-12-20,PK
ARQUIVADO,2016,GUINÉ,F,1978.0,SÃO PAULO,2018-11-29,GN
ARQUIVADO,2018,HAITI,F,1979.0,SINOP,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,M,1988.0,PORTO ALEGRE,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1992.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2017,NIGÉRIA,M,1980.0,CURITIBA,2018-11-29,NG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1973.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,M,1968.0,SÃO PAULO,2018-11-29,SY
ARQUIVADO,2018,HAITI,M,1988.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1982.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1995.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,M,1994.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1986.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,MOÇAMBIQUE,M,1968.0,SÃO PAULO,2018-11-29,MZ
ARQUIVADO,2018,HAITI,M,1993.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1962.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,CHINA,M,1969.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,HAITI,M,1992.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1976.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,COLÔMBIA,M,1985.0,SÃO PAULO,2018-11-29,CO
ARQUIVADO,2018,HAITI,M,1998.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1976.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,HAITI,M,1987.0,SÃO PAULO,2018-11-29,HT
ARQUIVADO,2018,HAITI,F,1995.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1986.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2018,SÍRIA,F,1985.0,GUARUJÁ,2018-11-29,SY
ARQUIVADO,2018,HAITI,F,1995.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1987.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2017,CUBA,M,1988.0,MANAUS,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1995.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1967.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1979.0,PACARAÍMA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1986.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1983.0,BRASILÉIA,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2014,PAQUISTÃO,M,1992.0,GOIÂNIA,2018-12-20,PK
ARQUIVADO,2017,EL SALVADOR,F,1988.0,SÃO PAULO,2018-11-29,SV
ARQUIVADO,2018,CHILE,F,2017.0,SINOP,2018-11-29,CL
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,HAITI,M,1975.0,CAXIAS DO SUL,2018-12-20,HT
ARQUIVADO,2016,CUBA,F,1970.0,MANAUS,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1988.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1994.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,PERU,M,1981.0,MANAUS,2018-11-29,PE
ARQUIVADO,2018,HAITI,M,1998.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1982.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,CUBA,M,1991.0,PACARAÍMA,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1989.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1977.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1987.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1989.0,MARINGÁ,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,F,2014.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1993.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2017,CUBA,M,1985.0,SANTA MARIA,2018-11-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,M,1975.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1987.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,SENEGAL,M,1989.0,RIO GRANDE,2018-11-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,F,1977.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,CUBA,M,1985.0,MANAUS,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1997.0,RIO GRANDE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1975.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1989.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1990.0,RIO GRANDE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,M,1978.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,HAITI,M,1982.0,BOA VISTA,2018-11-29,HT
ARQUIVADO,2018,HAITI,M,1993.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,M,1985.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1969.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1973.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,F,1991.0,BRASILÉIA,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2014,PAQUISTÃO,M,1968.0,GUARULHOS,2018-12-20,PK
ARQUIVADO,2016,ANGOLA,M,1984.0,SÃO PAULO,2018-11-29,AO
ARQUIVADO,2017,CUBA,M,1987.0,VITÓRIA DA CONQUISTA,2018-11-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,HAITI,M,1985.0,FLORIANÓPOLIS,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,F,1992.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1965.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,F,1987.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1990.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1985.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1984.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,F,1992.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,HAITI,F,1992.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1986.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1983.0,SANTO ÂNGELO,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,M,1987.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1988.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,VENEZUELA,F,1978.0,PORTO ALEGRE,2018-11-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,M,1992.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1988.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1980.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1976.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1992.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1982.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1982.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,F,1993.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1984.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1989.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,F,1981.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1989.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1978.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1993.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1990.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,HAITI,M,1997.0,RIO BRANCO,2018-12-20,HT
ELIGIBILIDADE - DEFERIDO,2014,PAQUISTÃO,M,2008.0,GUARULHOS,2018-12-20,PK
ARQUIVADO,2016,CHINA,M,1975.0,SÃO PAULO,2018-11-29,CN
ARQUIVADO,2018,VENEZUELA,M,1979.0,PACARAÍMA,2018-11-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1971.0,GUARULHOS,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1998.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1968.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,F,1983.0,FOZ DO IGUAÇU,2018-12-20,HT
ARQUIVADO,2016,CUBA,M,1977.0,BOA VISTA,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1995.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,M,1967.0,MANAUS,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1993.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1995.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,M,1991.0,CUIABÁ,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,M,1992.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1991.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1984.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,CUBA,F,1988.0,MANAUS,2018-11-29,CU
ARQUIVADO,2018,HAITI,M,1998.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,M,1981.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2016,VENEZUELA,F,1990.0,BOA VISTA,2018-11-29,VE
ARQUIVADO,2018,HAITI,M,1986.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,HAITI,F,1988.0,BRASILÉIA,2018-12-20,HT
ARQUIVADO,2017,VENEZUELA,M,1993.0,MANAUS,2018-11-29,VE
ARQUIVADO,2018,HAITI,F,1993.0,PORTO ALEGRE,2018-11-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,HAITI,M,1994.0,TRÊS LAGOAS,2018-12-20,HT
ARQUIVADO,2017,VENEZUELA,M,1995.0,MANAUS,2018-11-29,VE
