STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,SENEGAL,M,1986.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1980.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1990.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1980.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1990.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,LÍBANO,M,1963.0,FOZ DO IGUAÇU,2018-06-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1980.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1991.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,2014.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,PAQUISTÃO,F,2011.0,CRICIÚMA,2018-06-29,PK
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2010,ANGOLA,M,1986.0,SÃO PAULO,2018-06-29,AO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,ANGOLA,M,1975.0,SÃO PAULO,2018-06-29,AO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2007.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,GANA,M,1974.0,CRICIÚMA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,ANGOLA,F,1991.0,RIO DE JANEIRO,2018-06-29,AO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1988.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,2012.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1975.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1975.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,2007.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,TOGO,M,1978.0,SÃO PAULO,2018-06-29,TG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,TOGO,M,1983.0,SÃO PAULO,2018-06-29,TG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,GANA,M,1979.0,CRICIÚMA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,GANA,M,1970.0,CAMPINAS,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,TOGO,M,1981.0,SÃO PAULO,2018-06-29,TG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,TOGO,M,1979.0,SÃO PAULO,2018-06-29,TG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,TOGO,M,1966.0,SÃO PAULO,2018-06-29,TG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SÍRIA,M,1981.0,RIBEIRÃO PRETO,2018-06-29,SY
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,BANGLADESH,M,1985.0,CASCAVÉL,2018-06-29,BD
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,VENEZUELA,M,1988.0,MANAUS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1997.0,BOA VISTA,2018-06-29,VE
