STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
ELIGIBILIDADE - INDEFERIDO;2015;SENEGAL;M;1991;RIO BRANCO;30/10/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;JORDÂNIA;M;1954;FOZ DO IGUAÇU;30/10/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;SÍRIA;M;2007;BRASÍLIA;30/10/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1984;CURITIBA;29/11/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;ANGOLA;M;2010;BRASÍLIA;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2013;SENEGAL;M;1990;BRASILÉIA;29/11/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;HAITI;F;1984;SÃO PAULO;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2015;JORDÂNIA;M;1996;SÃO PAULO;20/12/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2012;COLÔMBIA;M;1965;NATAL;20/12/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;SÍRIA;M;1990;SÃO PAULO;20/12/2018
ELIGIBILIDADE - INDEFERIDO;2014;ANGOLA;M;1989;ANÁPOLIS;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1991;CURITIBA;28/09/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;ÍNDIA;M;2010;BELÉM;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;HAITI;M;1992;BRASILÉIA;28/09/2018
PERDA DA CONDIÇÃO DE REFUGIADO;2015;SÍRIA;M;1987;SÃO PAULO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1986;SÃO PAULO;27/04/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;SÍRIA;M;1989;SÃO PAULO;29/06/2018
